originals	tokenized	transliterated	transliterated_common
uaha cabaùho	u a h a # c a b aù h o	u a h a # k a b a:u h o	uaha kaba:uho
mahalo	m a h a l o	m a h a l o	mahalo
mangalap	m a n g a l a p	m a n j a l a p	manjalap
uaha mena	u a h a # m e n a	u a h a # m e n a	uaha mena
menana	m e n a n a	m e n a n a	menana
		⁇	⁇
bacòcu parihòpi	b a c ò c u # p a r i h ò p i	b a k O k u # p a r i x O p i	bakOku parixOpi
mufano	m u f a n o	m u f a n o	mufano
laho	l a h o	l a h o	laho
borhat	b o r h a t	b o r h a t	borhat
abuha puaka	a b u h a # p u a k a	a b u h a # p u a k a	abuha puaka
leiduru	l ei d u r u	l e:i d u r u	le:iduru
tittin	t i t t i n	t i t t i n	tittin
carèo apo	c a r è o # a p o	k a r E o # a p o	karEo apo
saliwa liwa ba nidano	s a l i w a # l i w a # b a # n i d a n o	s a l i w a # l i w a # b a # n i d a n o	saliwa liwa ba nidano
		⁇	⁇
cheèpa	ch e è p a	k e E p a	keEpa
saliwa liwa ba dano	s a l i w a # l i w a # b a # d a n o	s a l i w a # l i w a # b a # d a n o	saliwa liwa ba dano
		⁇	⁇
láio iane	l á i o # i a n e	l a i o # i a n e	laio iane
furugo	f u r u g o	f u r u j o	furujo
si tuwa tuwa	s i # t u w a # t u w a	s i # t u w a # t u w a	si tuwa tuwa
napuaca	n a p u a c a	n a p u a k a	napuaka
dodo ide ide	d o d o # i d e # i d e	d o d o # i d e # i d e	dodo ide ide
		⁇	⁇
cheòba ehapi	ch e ò b a # e h a p i	k e O b a # e h a p i	keOba ehapi
turu mani	t u r u # m a n i	t u r u # m a n i	turu mani
giari mánis	gi a r i # m á n i s	c a r i # m a n i s	cari manis
eu apo	e u # a p o	e u # a p o	eu apo
		⁇	⁇
		⁇	⁇
eminuáe	e m i n u á e	e m i n u a e	eminuae
aleu	a l e u	a l e u	aleu
langan	l a n g a n	l a n j a n	lanjan
cabaoha	c a b ao h a	k a b a:o h a	kaba:oha
teboca	t e b o c a	t e b o k a	teboka
mamuha	m a m u h a	m a m u h a	mamuha
bucae	b u c ae	b u k a:e	buka:e
		⁇	⁇
dano	d a n o	d a n o	dano
ea pica	e a # p i c a	e a # p i k a	ea pika
lamanu	l a m a n u	l a m a n u	lamanu
matugarang	m a t u g a r a n g	m a t u j a r a n j	matujaranj
ua cabaccò	u a # c a b a cc ò	u a # k a b a k O	ua kabakO
uah itgebe ié ecuo	u a h # i tg e b e # i é # e c u o	u a h # i c e b e # i e # e k u o	uah icebe ie ekuo
nisala	n i s a l a	n i s a l a	nisala
manaoc	m a n ao c	m a n a:o k	mana:ok
pabuha eòbi	p a b u h a # e ò b i	p a b u h a # e O b i	pabuha eObi
fanunu manu	f a n u n u # m a n u	f a n u n u # m a n u	fanunu manu
		⁇	⁇
cadicorè	c a d i c o r è	k a d i k o r E	kadikorE
laòho òho	l aò h o # ò h o	l a:O h o # O h o	la:Oho Oho
manahil	m a n a h i l	m a n a h i l	manahil
manarangsáng	m a n a r a n g s á n g	m a n a r a n j s a n j	manaranjsanj
ocaca cuo	o c a c a # c u o	o k a k a # k u o	okaka kuo
ogòo	o g ò o	o j O o	ojOo
mangunsilát	m a n g u n s i l á t	m a n j u n s i l a t	manjunsilat
bacaáia	b a c a á i a	b a k a a i a	bakaaia
ba gabèra	b a # g a b è r a	b a # j a b E r a	ba jabEra
hambiráng	h a m b i r á n g	h a m b i r a n j	hambiranj
albaca	a l b a c a	a l b a k a	albaka
