originals	toba_batak_TOKEN	toba_batak_TRANSLITERATED	toba_batak_COMMON
ale tu son ma ho	a l e # t u # s o n # m a # h o	a l e # t u # s o n # m a # h o	ale tu son ma ho
huta	h u t a	h u t a	huta
na manaluhon	n a # m a n a l u h o n	n a # m a n a l u h o n	na manaluhon
		⁇	⁇
mangulu	m a n g u l u	m a n j u l u	manjulu
		⁇	⁇
habang	h a b a n g	h a b a n j	habanj
olo	o l o	o l o	olo
rumar	r u m a r	r u m a r	rumar
ronhit	r o n h i t	r o n h i t	ronhit
ronhit	r o n h i t	r o n h i t	ronhit
tambilang	t a m b i l a n g	t a m b i l a n j	tambilanj
mempanghempang	m e m p a n g h e m p a n g	m e m p a n j h e m p a n j	mempanjhempanj
		⁇	⁇
sáda	s á d a	s a d a	sada
dúwa	d ú w a	d u w a	duwa
tòlu	t ò l u	t O l u	tOlu
opat	o p a t	o p a t	opat
líma	l í m a	l i m a	lima
onòm	o n ò m	o n O m	onOm
pítu	p í t u	p i t u	pitu
uwálu	u w á l u	u w a l u	uwalu
sija	s i j a	s i j a	sija
sappúlu	s a p p ú l u	s a p p u l u	sappulu
sappúlu sada	s a p p ú l u # s a d a	s a p p u l u # s a d a	sappulu sada
sappúlu duwa	s a p p ú l u # d u w a	s a p p u l u # d u w a	sappulu duwa
sappúlu tolu	s a p p ú l u # t o l u	s a p p u l u # t o l u	sappulu tolu
sappúlu opat	s a p p ú l u # o p a t	s a p p u l u # o p a t	sappulu opat
sappúlu lima	s a p p ú l u # l i m a	s a p p u l u # l i m a	sappulu lima
sappúlu onom	s a p p ú l u # o n o m	s a p p u l u # o n o m	sappulu onom
sappúlu pitu	s a p p ú l u # p i t u	s a p p u l u # p i t u	sappulu pitu
sappúlu uwalu	s a p p ú l u # u w a l u	s a p p u l u # u w a l u	sappulu uwalu
sappúlu sija	s a p p ú l u # s i j a	s a p p u l u # s i j a	sappulu sija
dúwa púlu	d ú w a # p ú l u	d u w a # p u l u	duwa pulu
tòlu púlu	t ò l u # p ú l u	t O l u # p u l u	tOlu pulu
sija púlu	s i j a # p ú l u	s i j a # p u l u	sija pulu
saratus	s a r a t u s	s a r a t u s	saratus
dúwaratus	d ú w a r a t u s	d u w a r a t u s	duwaratus
saribu	s a r i b u	s a r i b u	saribu
