originals	toba_batak_TOKEN	toba_batak_TRANSLITERATED	toba_batak_COMMON
bot	b o t	b o t	bot
dengán	d e n g á n	d e n j a n	denjan
mandangurhón	m a n d a n g u r h ó n	m a n d a n j u r h o n	mandanjurhon
marburu	m a r b u r u	m a r b u r u	marburu
marburu	m a r b u r u	m a r b u r u	marburu
madabu	m a d a b u	m a d a b u	madabu
las	l a s	l a s	las
mamolnat	m a m o l n a t	m a m o l n a t	mamolnat
		⁇	⁇
ladang	l a d a n g	l a d a n j	ladanj
gimma	gi m m a	c m m a	cmma
asu	a s u	a s u	asu
asu	a s u	a s u	asu
tobu	t o b u	t o b u	tobu
ende	e n d e	e n d e	ende
obu	o b u	o b u	obu
obu	o b u	o b u	obu
mangantusi	m a n g a n t u s i	m a n j a n t u s i	manjantusi
haleon	h a l e o n	h a l e o n	haleon
giuhut	gi u h u t	c u h u t	cuhut
rarang	r a r a n g	r a r a n j	raranj
bagas	b a g a s	b a j a s	bajas
bagas	b a g a s	b a j a s	bajas
rowa	r o w a	r o w a	rowa
lulu	l u l u	l u l u	lulu
ampang	a m p a n g	a m p a n j	ampanj
ampang	a m p a n g	a m p a n j	ampanj
si gurup	s i # g u r u p	s i # j u r u p	si jurup
si gurup	s i # g u r u p	s i # j u r u p	si jurup
margowar	m a r g o w a r	m a r j o w a r	marjowar
mamigio	m a m i gi o	m a m i c o	mamico
manuccun	m a n u cc u n	m a n u k u n	manukun
pitung	p i t u n g	p i t u n j	pitunj
imbulu ni mata	i m b u l u # n i # m a t a	i m b u l u # n i # m a t a	imbulu ni mata
dalu	d a l u	d a l u	dalu
negiur	n e gi u r	n e c u r	necur
migior	m i gi o r	m i c o r	micor
migior	m i gi o r	m i c o r	micor
buwaia	b u w ai a	b u w a:i a	buwa:ia
ihur	i h u r	i x u r	ixur
giechel	gi e ch e l	c e k e l	cekel
pusu	p u s u	p u s u	pusu
ruccung	r u cc u n g	r u k u n j	rukunj
ruccung	r u cc u n g	r u k u n j	rukunj
raut	r au t	r a:u t	ra:ut
raut	r au t	r a:u t	ra:ut
raut	r au t	r a:u t	ra:ut
rahi	r a h i	r a h i	rahi
rahi	r a h i	r a h i	rahi
rahi	r a h i	r a h i	rahi
raut	r au t	r a:u t	ra:ut
raut	r au t	r a:u t	ra:ut
raut	r au t	r a:u t	ra:ut
rahi	r a h i	r a h i	rahi
rahi	r a h i	r a h i	rahi
rahi	r a h i	r a h i	rahi
mandoccon	m a n d o cc o n	m a n d o k o n	mandokon
gora	g o r a	j o r a	jora
aha nia gowarna	a h a # n i a # g o w a r n a	a h a # n i a # j o w a r n a	aha nia jowarna
hian	h i a n	h i a n	hian
hassian	h a s s i a n	h a s s i a n	hassian
manuhor	m a n u h o r	m a n u h o r	manuhor
pagò	p a g ò	p a j O	pajO
		⁇	⁇
si mata	s i # m a t a	s i # m a t a	si mata
ma begu	m a # b e g u	m a # b e j u	ma beju
riman	r i m a n	r i m a n	riman
holting *	h o l t i n g # *	h o l t i n j # *	holtinj *
sunge	s u n g e	s u n j e	sunje
aec	ae c	a:e k	a:ek
aha ma on	a h a # m a # o n	a h a # m a # o n	aha ma on
hae hae	h ae # h ae	h a:e # h a:e	ha:e ha:e
boti	b o t i	b o t i	boti
		⁇	⁇
		⁇	⁇
sowada masac	s o w a d a # m a s a c	s o w a d a # m a s a k	sowada masak
marmasah	m a r m a s a h	m a r m a s a h	marmasah
ati	a t i	a t i	ati
mangaleion	m a n g a l ei o n	m a n j a l e:i o n	manjale:ion
ningi	n i n gi	n i n c	ninc
bagas	b a g a s	b a j a s	bajas
pudi	p u d i	p u d i	pudi
mandugal	m a n d u g a l	m a n d u j a l	mandujal
manghalupai	m a n g h a l u p ai	m a n j h a l u p a:i	manjhalupa:i
didoc	d i d o c	d i d o k	didok
rac²	r a c ²	r a k ²	rak²
bada	b a d a	b a d a	bada
gabe	g a b e	j a b e	jabe
sírang	s í r a n g	s i r a n j	siranj
		⁇	⁇
mahusò	m a h u s ò	m a h u s O	mahusO
mahusò	m a h u s ò	m a h u s O	mahusO
tòrang ni arima	t ò r a n g # n i # a r i m a	t O r a n j # n i # a r i m a	tOranj ni arima
potòsi	p o t ò s i	p o t O s i	potOsi
nung i	n u n g # i	n u n j # i	nunj i
módom	m ó d o m	m o d o m	modom
módom	m ó d o m	m o d o m	modom
módom	m ó d o m	m o d o m	modom
		⁇	⁇
di diia	d i # d i i a	d i # d i i a	di diia
ibana	i b a n a	i b a n a	ibana
ibana	i b a n a	i b a n a	ibana
bonhòt	b o n h ò t	b o n h O t	bonhOt
duhút	d u h ú t	d u h u t	duhut
mangumèi	m a n g u m è i	m a n j u m E i	manjumEi
adòng	a d ò n g	a d O n j	adOnj
sahít	s a h í t	s a h i t	sahit
mintòp	m i n t ò p	m i n t O p	mintOp
bohi	b o h i	b o h i	bohi
rapar	r a p a r	r a p a r	rapar
anac	a n a c	a n a k	anak
