originals	nias_TOKEN	nias_TRANSLITERATED	nias_COMMON
lo osisi	l o # o s i s i	l o # o s i s i	lo osisi
die	d i e	d i e	die
die	d i e	d i e	die
facu	f a c u	f a k u	faku
ahelahela	a h e l a h e l a	a h e l a h e l a	ahelahela
laidgiu	l ai d gi u	l a:i d c u	la:idcu
sára	s á r a	s a r a	sara
duá	d u á	d u a	dua
tolu	t o l u	t o l u	tolu
ofa	o f a	o f a	ofa
lima	l i m a	l i m a	lima
ono	o n o	o n o	ono
fitu	f i t u	f i t u	fitu
walu	w a l u	w a l u	walu
siwa	s i w a	s i w a	siwa
fúlu	f ú l u	f u l u	fulu
fele dgiára	f e l e # d gi á r a	f e l e # d c a r a	fele dcara
felendrúa	f e l e n d r ú a	f e l e n d r u a	felendrua
fele dolu	f e l e # d o l u	f e l e # d o l u	fele dolu
fele ofa	f e l e # o f a	f e l e # o f a	fele ofa
fele lima	f e l e # l i m a	f e l e # l i m a	fele lima
fele ono	f e l e # o n o	f e l e # o n o	fele ono
fele witu	f e l e # w i t u	f e l e # w i t u	fele witu
fele walu	f e l e # w a l u	f e l e # w a l u	fele walu
fele dgíwa	f e l e # d g í w a	f e l e # d j i w a	fele djiwa
dua wulu	d u a # w u l u	d u a # w u l u	dua wulu
tolungafulu	t o l u n g a f u l u	t o l u n j a f u l u	tolunjafulu
siwa wulu	s i w a # w u l u	s i w a # w u l u	siwa wulu
otu	o t u	o t u	otu
duangaotu	d u a n g ao t u	d u a n j a:o t u	duanja:otu
hono	h o n o	h o n o	hono
