originals	ENO_TOKEN	ENO_TRANSLITERATED	ENO_COMMON
eaha ehòda	e a h a # e h ò d a	e a h a # e h O d a	eaha ehOda
eaha ehòda	e a h a # e h ò d a	e a h a # e h O d a	eaha ehOda
eaha ehòda	e a h a # e h ò d a	e a h a # e h O d a	eaha ehOda
paraia	p a r ai a	p a r a:i a	para:ia
ami²	a m i ²	a m i ²	ami²
ehoari	e h o a r i	e h o a r i	ehoari
chèlo²	ch è l o ²	k E l o ²	kElo²
ahecù	a h e c ù	a h e k u	aheku
ecoè	e c o è	e k o E	ekoE
pahona	p a h o n a	p a h o n a	pahona
aheito	a h ei t o	a h e:i t o	ahe:ito
capiaca	c a p i a c a	k a p i a k a	kapiaka
ahecu cahomimi	a h e c u # c a h o m i m i	a h e k u # k a h o m i m i	aheku kahomimi
capica	c a p i c a	k a p i k a	kapika
ecò	e c ò	e k O	ekO
eapacu	e a p a c u	e a p a k u	eapaku
enocuè	e n o c u è	e n o k u E	enokuE
bachechè	b a ch e ch è	b a k e k E	bakekE
eachidà	e a ch i d à	e a k i d a	eakida
paniha	p a n i h a	p a n i x a	panixa
eharudia	e h a r u d i a	e h a r u d i a	eharudia
echienia	e ch i e n i a	e k i e n i a	ekienia
baharo	b a h a r o	b a h a r o	baharo
huca	h u c a	h u k a	huka
moonè	m o o n è	m o o n E	moonE
eápia	e á p i a	e a p i a	eapia
eorodia	e o r o d i a	e o r o d i a	eorodia
caho	c a h o	k a h o	kaho
coeue	c o e u e	k o e u e	koeue
elopo	e l o p o	e l o p o	elopo
edihio	e d i h i o	e d i x i o	edixio
euru	e u r u	e u r u	euru
epua ulu	e p u a # u l u	e p u a # u l u	epua ulu
ecaca chipuoa	e c a c a # ch i p u o a	e k a k a # k i p u o a	ekaka kipuoa
epuha euba	e p u h a # e u b a	e p u h a # e u b a	epuha euba
eho uba	e h o # u b a	e h o # u b a	eho uba
		⁇	⁇
		⁇	⁇
ucania	u c a n i a	u k a n i a	ukania
eabuaa	e a b u a a	e a b u a a	eabuaa
ehaenui	e h ae n u i	e h a:e n u i	eha:enui
baridaha aho	b a r i d a h a # a h o	b a r i d a h a # a h o	baridaha aho
ehe	e h e	e h e	ehe
chipenanau	ch i p e n a n au	k i p e n a n a:u	kipenana:u
		⁇	⁇
cheachininichi	ch e a ch i n i n i ch i	k e a k i n i n i k i	keakininiki
pacoha	p a c o h a	p a k o h a	pakoha
chidara	ch i d a r a	k i d a r a	kidara
canuúnu	c a n u ú n u	k a n u u n u	kanuunu
eca uapo	e c a # u a p o	e k a # u a p o	eka uapo
caca	c a c a	k a k a	kaka
iara	i a r a	i a r a	iara
caacheo	c a a ch e o	k a a k e o	kaakeo
eharuca	e h a r u c a	e h a r u k a	eharuka
eipuru	ei p u r u	e:i p u r u	e:ipuru
cheèpa	ch e è p a	k e E p a	keEpa
pacahalè	p a c a h a l è	p a k a h a l E	pakahalE
panacona	p a n a c o n a	p a n a k o n a	panakona
abaua	a b au a	a b a:u a	aba:ua
capochepeche	c a p o ch e p e ch e	k a p o k e p e k e	kapokepeke
pacunuio	p a c u n u i o	p a k u n u i o	pakunuio
uaha nooni	u a h a # n o o n i	u a h a # n o o n i	uaha nooni
chèoba elà ibudia	ch è o b a # e l à # i b u d i a	k E o b a # e l a # i b u d i a	kEoba ela ibudia
cheoa	ch e o a	k e o a	keoa
capu	c a p u	k a p u	kapu
pua	p u a	p u a	pua
cabócu	c a b ó c u	k a b o k u	kaboku
purihio	p u r i h i o	p u r i x i o	purixio
eacoupi	e a c ou p i	e a k o:u p i	eako:upi
caaia	c a ai a	k a a:i a	kaa:ia
pohòchi	p o h ò ch i	p o h O k i	pohOki
pachèli enia	p a ch è l i # e n i a	p a k E l i # e n i a	pakEli enia
uacoli ipurudia	u a c o l i # i p u r u d i a	u a k o l i # i p u r u d i a	uakoli ipurudia
chicababa	ch i c a b a b a	k i k a b a b a	kikababa
chiu	ch i u	k i u	kiu
echiteica	e ch i t ei c a	e k i t e:i k a	ekite:ika
echida	e ch i d a	e k i d a	ekida
		⁇	⁇
poenamu	p o e n a m u	p o e n a m u	poenamu
ecunana	e c u n a n a	e k u n a n a	ekunana
ca	c a	k a	ka
caha cacocoi	c a h a # c a c o c o i	k a h a # k a k o k o i	kaha kakokoi
ií	i í	i i	ii
adeé	a d e é	a d e e	adee
caudara	c au d a r a	k a:u d a r a	ka:udara
eeò	e e ò	e e O	eeO
ebaca	e b a c a	e b a k a	ebaka
coda	c o d a	k o d a	koda
egi	e gi	e c	ec
eèpa	e è p a	e E p a	eEpa
uacahapi	u a c a h a p i	u a k a h a p i	uakahapi
chèoba hela	ch è o b a # h e l a	k E o b a # h e l a	kEoba hela
echia	e ch i a	e k i a	ekia
comau	c o m au	k o m a:u	koma:u
		⁇	⁇
caracoiaidia	c a r a c o i ai d i a	k a r a k o i a:i d i a	karakoia:idia
edoa	e d o a	e d o a	edoa
cáic	c á i c	k a i k	kaik
adúwa	a d ú w a	a d u w a	aduwa
acòlu	a c ò l u	a k O l u	akOlu
afa	a f a	a f a	afa
alíme	a l í m e	a l i m e	alime
cachíne	c a ch í n e	k a k i n e	kakine
alíme adúwa	a l í m e # a d ú w a	a l i m e # a d u w a	alime aduwa
afa afa	a f a # a f a	a f a # a f a	afa afa
alíme afa	a l í m e # a f a	a l i m e # a f a	alime afa
cahafúlo	c a h a f ú l o	k a h a f u l o	kahafulo
cahafúlo cáic	c a h a f ú l o # c á i c	k a h a f u l o # k a i k	kahafulo kaik
cahafúlo adúwa	c a h a f ú l o # a d ú w a	k a h a f u l o # a d u w a	kahafulo aduwa
cahafúlo acòlu	c a h a f ú l o # a c ò l u	k a h a f u l o # a k O l u	kahafulo akOlu
cahafúlo afá	c a h a f ú l o # a f á	k a h a f u l o # a f a	kahafulo afa
cahafúlo alíme	c a h a f ú l o # a l í m e	k a h a f u l o # a l i m e	kahafulo alime
cahafúlo cachine	c a h a f ú l o # c a ch i n e	k a h a f u l o # k a k i n e	kahafulo kakine
cahafúlo alíme adúwa	c a h a f ú l o # a l í m e # a d ú w a	k a h a f u l o # a l i m e # a d u w a	kahafulo alime aduwa
cahafúlo afa afa	c a h a f ú l o # a f a # a f a	k a h a f u l o # a f a # a f a	kahafulo afa afa
cahafúlo alíme áfa	c a h a f ú l o # a l í m e # á f a	k a h a f u l o # a l i m e # a f a	kahafulo alime afa
cáic taccá	c á i c # t a cc á	k a i k # t a k a	kaik taka
cáic taccá cahafúlo	c á i c # t a cc á # c a h a f ú l o	k a i k # t a k a # k a h a f u l o	kaik taka kahafulo
afa taccá cahafúlo	a f a # t a cc á # c a h a f ú l o	a f a # t a k a # k a h a f u l o	afa taka kahafulo
alíme taccá	a l í m e # t a cc á	a l i m e # t a k a	alime taka
cahafúlo taccá	c a h a f ú l o # t a cc á	k a h a f u l o # t a k a	kahafulo taka
alíme cahafúlo taccá	a l í m e # c a h a f ú l o # t a cc á	a l i m e # k a h a f u l o # t a k a	alime kahafulo taka
