originals	ENO_TOKEN	ENO_TRANSLITERATED	ENO_COMMON
prururu ipo	p r u r u r u # i p o	p r u r u r u # i p o	prururu ipo
prururu chidía	p r u r u r u # ch i d í a	p r u r u r u # k i d i a	prururu kidia
		⁇	⁇
elòha	e l ò h a	e l O h a	elOha
		⁇	⁇
abacochía	a b a c o ch í a	a b a k o k i a	abakokia
abóha	a b ó h a	a b o h a	aboha
cáua	c á u a	k a u a	kaua
baigiòho	b ai gi ò h o	b a:i c O h o	ba:icOho
caudáhio	c au d á h i o	k a:u d a h i o	ka:udahio
eca	e c a	e k a	eka
chinacò	ch i n a c ò	k i n a k O	kinakO
apo	a p o	a p o	apo
earahaori	e a r a h ao r i	e a r a h a:o r i	earaha:ori
apo	a p o	a p o	apo
earahaori	e a r a h ao r i	e a r a h a:o r i	earaha:ori
cahápi	c a h á p i	k a h a p i	kahapi
cahápi	c a h á p i	k a h a p i	kahapi
eoho	e o h o	e o h o	eoho
bachíco	b a ch í c o	b a k i k o	bakiko
bachíco	b a ch í c o	b a k i k o	bakiko
cachíco	c a ch í c o	k a k i k o	kakiko
chioha	ch i o h a	k i o h a	kioha
caricu cariahadía	c a r i c u # c a r i a h a d í a	k a r i k u # k a r i a h a d i a	kariku kariahadia
capòpo elòpo	c a p ò p o # e l ò p o	k a p O p o # e l O p o	kapOpo elOpo
cáua	c á u a	k a u a	kaua
epacúa	e p a c ú a	e p a k u a	epakua
bacocòi ebèo iahiacúe	b a c o c òi # e b è o # i a h i a c ú e	b a k o k o:i # e b E o # i a h i a k u e	bakoko:i ebEo iahiakue
cabacocòi ba buru còio	c a b a c o c òi # b a # b u r u # c òi o	k a b a k o k o:i # b a # b u r u # k o:i o	kabakoko:i ba buru ko:io
capunda	c a p u n d a	k a p u n d a	kapunda
cadodohodi	c a d o d o h o d i	k a d o d o h o d i	kadodohodi
chichidi	ch i ch i d i	k i k i d i	kikidi
ecò	e c ò	e k O	ekO
epíia	e p í i a	e p i i a	epiia
epíia	e p í i a	e p i i a	epiia
eapí	e a p í	e a p i	eapi
ebèo	e b è o	e b E o	ebEo
enaio	e n ai o	e n a:i o	ena:io
bahora	b a h o r a	b a h o r a	bahora
pruru ulu	p r u r u # u l u	p r u r u # u l u	pruru ulu
pruru uru	p r u r u # u r u	p r u r u # u r u	pruru uru
pahoiá	p a h o i á	p a h o i a	pahoia
chèoba eonai mèhe	ch è o b a # e o n ai # m è h e	k E o b a # e o n a:i # m E h e	kEoba eona:i mEhe
hela	h e l a	h e l a	hela
mocoli	m o c o l i	m o k o l i	mokoli
èuba	è u b a	E u b a	Euba
cacario	c a c a r i o	k a k a r i o	kakario
ibu	i b u	i b u	ibu
bahoari	b a h o a r i	b a h o a r i	bahoari
eorae	e o r ae	e o r a:e	eora:e
eunèche	e u n è ch e	e u n E k e	eunEke
eorae	e o r ae	e o r a:e	eora:e
eunèche	e u n è ch e	e u n E k e	eunEke
ahadi	a h a d i	a h a d i	ahadi
ahadi	a h a d i	a h a d i	ahadi
manunuhi	m a n u n u h i	m a n u n u h i	manunuhi
machene	m a ch e n e	m a k e n e	makene
epruru baca	e p r u r u # b a c a	e p r u r u # b a k a	epruru baka
ecòio	e c òi o	e k o:i o	eko:io
carahapò	c a r a h a p ò	k a r a h a p O	karahapO
epò	e p ò	e p O	epO
huapò	h u a p ò	h u a p O	huapO
cohoóca	c o h o ó c a	k o h o o k a	kohooka
iidia	i i d i a	i i d i a	iidia
pahuna chideidia	p a h u n a # ch i d ei d i a	p a h u n a # k i d e:i d i a	pahuna kide:idia
pahuna chideidia	p a h u n a # ch i d ei d i a	p a h u n a # k i d e:i d i a	pahuna kide:idia
eiú	ei ú	e:i u	e:iu
ehanua	e h a n u a	e h a n u a	ehanua
epèiti	e p è i t i	e p E i t i	epEiti
eao	e ao	e a:o	ea:o
eachiebara	e a ch i e b a r a	e a k i e b a r a	eakiebara
epèiti	e p è i t i	e p E i t i	epEiti
eao	e ao	e a:o	ea:o
eachiebara	e a ch i e b a r a	e a k i e b a r a	eakiebara
epèiti	e p è i t i	e p E i t i	epEiti
eao	e ao	e a:o	ea:o
eachiebara	e a ch i e b a r a	e a k i e b a r a	eakiebara
epèiti	e p è i t i	e p E i t i	epEiti
eao	e ao	e a:o	ea:o
eachiebara	e a ch i e b a r a	e a k i e b a r a	eakiebara
chihíua comaná	ch i h í u a # c o m a n á	k i x i u a # k o m a n a	kixiua komana
bapuru chia	b a p u r u # ch i a	b a p u r u # k i a	bapuru kia
