ID,PAGE,TYPE,ITALIAN,MALAY,NIAS,TOBA_BATAK,ENGGANO,MALAY_1,NIAS_1,TOBA_BATAK_1,ENGGANO_1,NIAS_1_rm,TOBA_BATAK_1_sem,TOBA_BATAK_1_rm,ENGGANO_1_sem,ENGGANO_1_rm,REMARK,TOBA_BATAK_SOURCE,nias_TOKEN,nias_TRANSLITERATED,nias_COMMON,toba_batak_TOKEN,toba_batak_TRANSLITERATED,toba_batak_COMMON,ENO_TOKEN,ENO_TRANSLITERATED,ENO_COMMON
40,266,word,Ammalarsi,Giatò sacchè,Tobali mafóch<i>o</i>,Malla,Cabapuho anòca,Giatò sacchè,Tobali mafócho,Malla,Cabapuho anòca,,,,,,,J. S. A. Van Dissel,t o b a l i # m a f ó c h o,t o b a l i # m a f o k h o,tobali mafokho,m a l l a,m a l l a,malla,c a b a p u h o # a n ò c a,k a b a p u h o # a n O k a,kabapuho anOka
41,266,word,Ancóra,Laghi,To,Dape,Nuchi pecaia,Laghi,To,Dape,Nuchi pecaia,,,,,,,,t o,t o,to,d a p e,d a p e,dape,n u ch i # p e c ai a,n u k i # p e k a:i a,nuki peka:ia
42,266,word,Ancóra,Laghi,To,Podo,Nuchi pecaia,Laghi,To,Podo,Nuchi pecaia,,,,,,,,t o,t o,to,p o d o,p o d o,podo,n u ch i # p e c ai a,n u k i # p e k a:i a,nuki peka:ia
43,266,word,Andare,Pighi,M<i>o</i>i,Lao,Uacahai,Pighi,Moi,Lao,Uacahai,,,,,,,,m o i,m o i,moi,l ao,l a:o,la:o,u a c a h ai,u a k a h a:i,uakaha:i
44,266,word,Andare,Pighi,M<i>o</i>i,Lao,Uaha,Pighi,Moi,Lao,Uaha,,,,,,,,m o i,m o i,moi,l ao,l a:o,la:o,u a h a,u a h a,uaha
45,266,word,Andare,Pighi,M<i>o</i>i,Laho,Uacahai,Pighi,Moi,Laho,Uacahai,,,,,,,,m o i,m o i,moi,l a h o,l a h o,laho,u a c a h ai,u a k a h a:i,uakaha:i
46,266,word,Andare,Pighi,M<i>o</i>i,Laho,Uaha,Pighi,Moi,Laho,Uaha,,,,,,,,m o i,m o i,moi,l a h o,l a h o,laho,u a h a,u a h a,uaha
47,267,word,Andare a caccia,Pighi membúru,M<i>o</i>i malu,Marburu,Uuaha puo còio,Pighi membúru,Moi malu,Marburu,Uuaha puo còio,,,,,,,,m o i # m a l u,m o i # m a l u,moi malu,m a r b u r u,m a r b u r u,marburu,u u a h a # p u o # c òi o,u u a h a # p u o # k o:i o,uuaha puo ko:io
48,267,word,Andare a casa,Pighi ca rúma,M<i>o</i> ch<i>o</i> banúa,Lao tu bagas,Caha iubaha,Pighi ca rúma,Mo cho banúa,Lao tu bagas,Caha iubaha,,,,,,,,m o # c h o # b a n ú a,m o # k h o # b a n u a,mo kho banua,l ao # t u # b a g a s,l a:o # t u # b a j a s,la:o tu bajas,c a h a # i u b a h a,k a h a # i u b a h a,kaha iubaha
49,267,word,Andare a dormire,Pighi tídor,M<i>o</i>i mor<i>o</i>,Lao modom,Uaha cabaùho,Pighi tídor,Moi moro,Lao modom,Uaha cabaùho,,,,,,,,m o i # m o r o,m o i # m o r o,moi moro,l ao # m o d o m,l a:o # m o d o m,la:o modom,u a h a # c a b aù h o,u a h a # k a b a:u h o,uaha kaba:uho
50,267,word,Andare a prendere,Pighi ambil,Mahalo,Mangalap,Uaha mena,Pighi ambil,Mahalo,Mangalap,Uaha mena,,,,,,,,m a h a l o,m a h a l o,mahalo,m a n g a l a p,m a n j a l a p,manjalap,u a h a # m e n a,u a h a # m e n a,uaha mena
51,267,word,Andare in punta di piedi,Pighi plán plán,Menana,,Bacòcu parihòpi,Pighi plán plán,Menana,,Bacòcu parihòpi,,,,,,,,m e n a n a,m e n a n a,menana,,⁇,⁇,b a c ò c u # p a r i h ò p i,b a k O k u # p a r i x O p i,bakOku parixOpi
52,267,word,Andar via,Pulá<i>ng</i>,Mufano,Laho,Abuha puaka,Puláng,Mufano,Laho,Abuha puaka,,,,,,,,m u f a n o,m u f a n o,mufano,l a h o,l a h o,laho,a b u h a # p u a k a,a b u h a # p u a k a,abuha puaka
53,267,word,Andar via,Pulá<i>ng</i>,Mufano,Borhat,Abuha puaka,Puláng,Mufano,Borhat,Abuha puaka,,,,,,,,m u f a n o,m u f a n o,mufano,b o r h a t,b o r h a t,borhat,a b u h a # p u a k a,a b u h a # p u a k a,abuha puaka
54,267,word,Anello,Tcíntcín,Leiduru,Tittin,Carèo apo,Tcíntcín,Leiduru,Tittin,Carèo apo,,,,,,,,l ei d u r u,l e:i d u r u,le:iduru,t i t t i n,t i t t i n,tittin,c a r è o # a p o,k a r E o # a p o,karEo apo
55,267,word,Animale acquatico,Binatáng aier,Saliwa liwa ba nidano,,"Cheèpa<rm=""veramente uccello"">",Binatáng aier,Saliwa liwa ba nidano,,Cheèpa,,,,,veramente uccello,,,s a l i w a # l i w a # b a # n i d a n o,s a l i w a # l i w a # b a # n i d a n o,saliwa liwa ba nidano,,⁇,⁇,ch e è p a,k e E p a,keEpa
56,267,word,Animale terrestre,Binatáng tána,Saliwa liwa ba dan<i>o</i>,,Láio iane,Binatáng tána,Saliwa liwa ba dano,,Láio iane,,,,,,,,s a l i w a # l i w a # b a # d a n o,s a l i w a # l i w a # b a # d a n o,saliwa liwa ba dano,,⁇,⁇,l á i o # i a n e,l a i o # i a n e,laio iane
57,267,word,Antenato,Nenèc,Furugo,Si tuwa tuwa,Napuaca,Nenèc,Furugo,Si tuwa tuwa,Napuaca,,,,,,,,f u r u g o,f u r u j o,furujo,s i # t u w a # t u w a,s i # t u w a # t u w a,si tuwa tuwa,n a p u a c a,n a p u a k a,napuaka
58,267,word,Antenato,Orang dulú,Furugo,Si tuwa tuwa,Napuaca,Orang dulú,Furugo,Si tuwa tuwa,Napuaca,,,,,,,,f u r u g o,f u r u j o,furujo,s i # t u w a # t u w a,s i # t u w a # t u w a,si tuwa tuwa,n a p u a c a,n a p u a k a,napuaka
59,267,word,Antipatia,Caghelían,D<i>o</i>d<i>o</i> ide ide,,"Cheòba ehapi<rm=""veramente non voglio"">",Caghelían,Dodo ide ide,,Cheòba ehapi,,,,,veramente non voglio,,,d o d o # i d e # i d e,d o d o # i d e # i d e,dodo ide ide,,⁇,⁇,ch e ò b a # e h a p i,k e O b a # e h a p i,keOba ehapi
60,267,word,Anulare,Giari manis,Turu mani,Giari mánis,Eu apo,Giari manis,Turu mani,Giari mánis,Eu apo,,,,,,,,t u r u # m a n i,t u r u # m a n i,turu mani,gi a r i # m á n i s,c a r i # m a n i s,cari manis,e u # a p o,e u # a p o,eu apo
61,267,word,Anulare del piede,Giari cachi,,,Eminuáe,Giari cachi,,,Eminuáe,,,,,,,,,⁇,⁇,,⁇,⁇,e m i n u á e,e m i n u a e,eminuae
62,267,word,Appassito,Burus,Aleu,Langan,Cabaoha,Burus,Aleu,Langan,Cabaoha,,,,,,,,a l e u,a l e u,aleu,l a n g a n,l a n j a n,lanjan,c a b ao h a,k a b a:o h a,kaba:oha
